Crop,Region,Month,Fertilizer,N,P,K,Temperature(C),Humidity(%),Soil_pH,Moisture(%)
Rice,Maharashtra,April,Muriate of Potash (MOP),30.3,7.5,58.7,12.0,29.1,8.9,41.2
Rice,Gujarat,March,Potassium Nitrate,114.0,50.7,85.2,11.6,84.2,6.8,7.1
Rice,Goa,March,Potash Mobilizing Biofertilizer,129.8,84.9,33.8,31.3,84.9,6.3,42.9
Rice,Jharkhand,October,Ammonium Sulphate (AS),137.3,10.7,95.7,13.6,93.2,8.6,46.1
Rice,Maharashtra,December,Ferrous Sulphate,121.0,23.2,20.1,26.2,91.9,4.6,12.9
Rice,Andhra Pradesh,June,Muriate of Potash (MOP),66.4,59.1,12.3,25.8,57.2,5.2,22.5
Rice,Kerala,September,Sulphur-Coated Urea,12.7,99.4,99.6,21.1,34.5,5.5,48.4
Rice,Arunachal Pradesh,August,Zinc Oxysulphate,138.8,35.2,9.4,31.2,93.2,8.2,26.2
Rice,Himachal Pradesh,November,Zinc Sulphate,81.3,74.3,62.1,42.7,27.6,7.1,33.7
Rice,Maharashtra,December,Boron (Boric Acid/Borax),63.2,54.2,36.8,44.1,69.7,7.3,46.2
Rice,Maharashtra,July,Neem-Coated Urea,7.2,28.3,0.6,39.8,95.7,5.5,36.9
Rice,Andhra Pradesh,June,NPK 19:19:19,43.2,81.6,109.1,15.5,83.7,4.6,22.6
Rice,Madhya Pradesh,October,Farmyard Manure (FYM),110.1,60.1,81.5,44.1,47.5,4.6,22.4
Rice,Goa,April,Single Super Phosphate (SSP),139.1,47.2,50.3,12.1,49.8,8.7,42.0
Rice,Himachal Pradesh,May,Azolla,63.1,5.0,4.0,12.0,85.5,8.3,25.3
Rice,Haryana,October,Single Super Phosphate (SSP),114.5,21.3,21.5,35.5,57.9,6.8,18.9
Rice,Kerala,March,Dolomite,134.3,65.6,112.8,38.3,61.8,5.7,5.7
Rice,Madhya Pradesh,November,Calcium Nitrate,43.8,57.3,11.0,37.4,20.9,7.0,17.6
Rice,Chhattisgarh,January,Zinc Fortified Urea,108.3,63.2,30.2,35.9,49.4,7.1,17.1
Rice,Bihar,November,Potassium Nitrate,56.4,16.3,53.7,31.3,86.9,4.7,27.1
Rice,Bihar,August,Single Super Phosphate (SSP),60.2,48.4,51.6,15.4,78.2,8.5,39.5
Rice,Kerala,December,NPK 28:28:0,49.2,2.2,50.5,44.4,29.4,5.3,39.4
Rice,Arunachal Pradesh,March,Farmyard Manure (FYM),74.7,5.2,19.6,29.5,43.0,4.7,27.5
Rice,Haryana,August,Calcium Ammonium Nitrate (CAN),88.5,68.0,10.1,13.5,90.4,8.4,41.6
Rice,Arunachal Pradesh,May,NPK 20:20:0,48.3,49.4,117.3,40.4,79.2,5.2,41.6
Rice,Goa,January,Ammonium Sulphate (AS),77.6,15.9,117.9,36.8,30.2,5.1,38.1
Rice,Madhya Pradesh,May,Rock Phosphate,65.7,93.0,19.3,23.9,78.1,8.5,10.0
Rice,Assam,July,Sulphate of Potash (SOP),70.1,54.4,79.3,21.9,82.6,5.4,18.1
Rice,Jharkhand,July,NPK 19:19:19,119.6,35.0,97.2,45.0,75.6,7.1,20.5
Rice,Karnataka,August,Phosphobacteria,52.2,41.2,76.7,18.8,82.0,7.3,25.7
Rice,Jharkhand,September,Phosphobacteria,75.2,91.1,94.6,22.8,50.8,5.2,19.2
Rice,Assam,August,NPK 20:20:13,115.6,33.2,12.1,32.6,79.8,8.7,16.6
Rice,Arunachal Pradesh,July,NPK 30:10:10,137.5,35.4,102.1,23.9,50.8,5.5,10.7
Rice,Maharashtra,September,NPK 15:15:15,33.2,71.3,73.8,17.3,26.6,4.9,38.7
Rice,Chhattisgarh,January,Water Soluble NPK (13:40:13),106.8,68.1,5.6,34.5,62.7,6.5,30.6
Rice,Kerala,April,Single Super Phosphate (SSP),89.7,82.9,98.5,42.4,74.4,4.6,7.1
Rice,Gujarat,September,Molybdenum (Ammonium Molybdate),31.2,22.0,64.7,11.4,99.1,8.2,24.2
Rice,Bihar,December,Dolomite,16.8,69.9,81.8,29.4,36.5,5.7,21.7
Rice,Madhya Pradesh,May,Phosphobacteria,33.3,36.9,7.2,16.8,59.1,5.4,49.5
Rice,Bihar,October,Pyrites,109.9,5.7,1.8,30.1,32.5,6.3,9.9
Rice,Andhra Pradesh,August,Farmyard Manure (FYM),18.4,35.8,51.8,30.3,92.7,6.0,46.5
Rice,Maharashtra,July,Anhydrous Ammonia,17.4,41.1,44.4,40.1,84.5,8.4,6.4
Rice,Madhya Pradesh,July,Manganese Sulphate,73.9,14.9,18.6,12.0,33.0,8.5,41.1
Rice,Maharashtra,July,Azotobacter Biofertilizer,64.3,85.5,6.5,31.5,93.2,6.8,33.2
Rice,Maharashtra,January,Ammonium Chloride,3.9,62.2,61.4,40.0,64.6,9.0,26.6
Rice,Bihar,June,Potash Mobilizing Biofertilizer,40.6,82.4,66.3,13.5,33.1,4.5,31.5
Rice,Haryana,July,Manganese Sulphate,73.9,47.0,90.6,40.6,33.7,6.2,18.8
Rice,Goa,February,NPK 19:19:19,5.8,40.2,86.7,14.8,28.4,5.8,24.4
Rice,Madhya Pradesh,August,Zinc Fortified Urea,48.4,27.4,25.1,22.1,91.0,5.3,49.9
Rice,Gujarat,April,NPK 14:28:14,81.7,43.4,1.7,22.0,69.9,8.1,10.7
Rice,Madhya Pradesh,November,Vermicompost,33.9,9.7,31.9,37.1,46.4,7.1,7.0
Rice,Karnataka,December,Copper Sulphate,40.6,67.5,45.6,36.5,68.6,5.7,23.8
Rice,Haryana,October,NPK 14:35:14,8.6,11.8,20.0,44.0,47.8,8.1,42.8
Rice,Jharkhand,September,Monoammonium Phosphate (MAP),135.2,13.3,12.2,19.1,91.0,6.8,26.7
Rice,Arunachal Pradesh,March,Zinc Sulphate,50.1,82.2,44.8,29.8,46.5,7.1,25.8
Rice,Himachal Pradesh,November,Calcium Nitrate,21.0,3.4,101.8,44.7,53.3,4.9,14.5
Rice,Andhra Pradesh,July,Double Super Phosphate (DSP),15.8,33.1,5.9,13.9,53.7,6.6,17.7
Rice,Chhattisgarh,February,Urea,104.1,3.8,33.2,33.8,33.9,8.7,11.6
Rice,Assam,April,Molybdenum (Ammonium Molybdate),104.5,66.2,108.2,19.0,83.2,5.8,45.2
Rice,Assam,January,NPK 17:17:17,93.9,13.1,58.7,37.3,58.1,5.8,35.5
Rice,Chhattisgarh,January,Potash Mobilizing Biofertilizer,111.6,93.9,26.3,35.5,41.0,5.6,33.1
Rice,Haryana,October,NPK 20:20:13,2.9,35.9,114.7,14.1,59.6,5.5,28.8
Rice,Jharkhand,November,Water Soluble NPK (13:40:13),98.7,36.2,62.3,33.7,20.6,5.6,12.7
Rice,Goa,August,Sulphate of Potash (SOP),57.2,43.6,101.2,41.3,34.7,8.1,19.4
Rice,Jharkhand,June,Muriate of Potash (MOP),4.8,36.9,55.6,43.6,96.0,5.8,21.6
Rice,Haryana,May,Sulphate of Potash (SOP),77.5,16.7,34.3,13.4,29.5,7.1,37.4
Rice,Assam,April,Water Soluble NPK (13:40:13),75.0,47.5,48.2,30.2,54.9,6.3,34.7
Rice,Arunachal Pradesh,March,Gypsum,84.1,95.5,16.5,10.1,67.6,8.5,8.4
Rice,Maharashtra,July,Copper Sulphate,105.5,78.3,60.6,26.9,94.7,5.7,11.0
Rice,Bihar,November,NPK 19:19:19,28.0,86.0,88.5,18.6,57.9,6.1,26.7
Rice,Himachal Pradesh,December,Potash Mobilizing Biofertilizer,56.8,97.3,45.6,44.2,70.0,6.0,5.5
Rice,Assam,October,Molybdenum (Ammonium Molybdate),49.7,52.3,24.1,20.0,46.0,5.9,19.0
Rice,Maharashtra,September,Azolla,94.6,70.8,60.4,26.3,45.1,5.7,30.3
Rice,Andhra Pradesh,November,Water Soluble NPK (19:19:19),84.4,24.8,119.4,17.6,64.4,5.5,20.2
Wheat,Gujarat,June,NPK 28:28:0,44.9,94.3,61.8,15.5,58.7,6.0,33.1
Wheat,Maharashtra,July,NPK 16:20:0,61.0,31.2,19.2,28.1,80.3,7.0,26.4
Wheat,Kerala,June,Sulphur-Coated Urea,138.8,49.9,103.4,20.4,27.5,8.9,7.6
Wheat,Andhra Pradesh,March,Magnesium Sulphate,62.7,73.2,78.1,19.2,30.0,5.1,16.6
Wheat,Madhya Pradesh,October,NPK 19:19:19,44.0,5.8,51.5,13.7,43.1,7.3,27.9
Wheat,Maharashtra,January,Azotobacter Biofertilizer,87.5,56.4,13.9,38.4,54.7,7.5,35.2
Wheat,Bihar,December,Water Soluble NPK (19:19:19),33.3,27.5,62.9,42.7,74.4,8.8,35.9
Wheat,Jharkhand,November,Urea,67.9,84.1,118.3,35.1,88.7,4.9,43.5
Wheat,Madhya Pradesh,January,Single Super Phosphate (SSP),82.1,50.7,98.2,15.4,46.4,6.7,23.1
Wheat,Madhya Pradesh,May,Rock Phosphate,65.9,66.2,47.6,22.7,59.5,5.0,45.5
Wheat,Chhattisgarh,January,Azolla,70.5,80.8,70.0,32.3,52.1,6.6,45.5
Wheat,Karnataka,October,Copper Sulphate,3.7,0.6,93.4,15.8,71.6,6.2,49.3
Wheat,Haryana,August,Farmyard Manure (FYM),64.0,22.2,76.8,19.7,70.7,5.3,42.6
Wheat,Bihar,April,Diammonium Phosphate (DAP),41.2,50.2,2.8,40.7,22.0,6.1,13.8
Wheat,Karnataka,May,Water Soluble NPK (13:40:13),83.4,70.0,112.0,43.8,89.2,7.5,21.9
Wheat,Goa,August,Vermicompost,0.4,77.8,107.5,43.7,43.9,8.0,35.6
Wheat,Karnataka,September,Calcium Ammonium Nitrate (CAN),100.2,37.7,62.2,43.7,39.3,7.8,7.0
Wheat,Chhattisgarh,March,Copper Sulphate,86.3,52.8,51.7,28.2,36.2,8.2,44.7
Wheat,Maharashtra,January,NPK 15:15:15,132.0,98.8,97.9,10.9,64.1,5.6,37.3
Wheat,Karnataka,April,Monoammonium Phosphate (MAP),75.5,53.0,1.6,37.0,66.8,7.6,22.8
Wheat,Goa,December,Urea,49.8,44.0,94.3,26.5,27.6,4.8,34.9
Wheat,Andhra Pradesh,August,NPK 17:17:17,24.2,34.1,40.5,44.8,33.5,5.5,17.6
Wheat,Haryana,May,Molybdenum (Ammonium Molybdate),83.8,81.8,91.4,41.7,82.8,5.9,46.1
Wheat,Karnataka,February,NPK 10:26:26,25.3,95.7,80.7,38.9,83.9,8.3,17.8
Wheat,Jharkhand,January,Anhydrous Ammonia,56.2,95.3,112.9,11.4,58.2,4.7,24.7
Wheat,Chhattisgarh,September,Zinc Oxysulphate,70.4,26.2,108.7,40.7,29.3,6.1,21.3
Wheat,Chhattisgarh,June,Molybdenum (Ammonium Molybdate),17.9,83.1,18.9,36.4,98.7,4.6,31.9
Wheat,Kerala,April,Triple Super Phosphate (TSP),58.6,91.3,71.1,39.2,35.5,6.4,11.8
Wheat,Kerala,February,Monoammonium Phosphate (MAP),48.0,67.3,47.3,22.2,36.1,6.4,25.0
Wheat,Chhattisgarh,December,Molybdenum (Ammonium Molybdate),70.0,79.8,53.7,30.6,50.1,8.8,22.1
Wheat,Chhattisgarh,June,Farmyard Manure (FYM),26.7,94.6,46.3,17.6,82.5,6.7,40.1
Wheat,Jharkhand,January,Ammonium Nitrate,4.3,18.1,89.6,29.9,81.0,8.7,19.9
Wheat,Himachal Pradesh,March,NPK 15:15:15,12.5,50.4,119.6,32.9,54.3,7.4,7.6
Wheat,Goa,April,Potash Mobilizing Biofertilizer,26.6,49.2,82.3,37.8,77.3,8.7,30.4
Wheat,Assam,February,Calcium Ammonium Nitrate (CAN),75.8,32.8,76.1,21.7,40.3,6.0,45.5
Wheat,Jharkhand,August,Ammonium Sulphate (AS),21.6,60.5,64.6,15.7,40.0,8.8,9.7
Wheat,Gujarat,June,Water Soluble NPK (19:19:19),109.5,59.3,62.1,17.2,92.3,7.9,48.7
Wheat,Himachal Pradesh,October,Dolomite,40.0,31.9,7.7,25.5,51.0,5.5,34.6
Wheat,Kerala,June,Manganese Sulphate,120.0,89.3,24.7,23.5,27.0,5.0,7.0
Wheat,Assam,June,Single Super Phosphate (SSP),55.2,9.0,27.3,38.1,33.5,4.5,39.0
Wheat,Maharashtra,May,Zinc Sulphate,133.7,22.7,55.7,26.6,36.4,4.9,39.5
Wheat,Madhya Pradesh,March,Sulphur-Coated Urea,88.9,46.9,20.9,39.2,42.0,4.9,11.8
Wheat,Kerala,February,Zinc Oxysulphate,13.6,75.3,62.4,33.8,48.1,7.2,18.1
Wheat,Karnataka,December,NPK 30:10:10,33.4,97.8,61.8,28.8,96.0,7.8,11.8
Wheat,Jharkhand,August,NPK 15:15:15,48.0,79.0,95.1,36.4,96.7,4.6,43.0
Wheat,Madhya Pradesh,August,Calcium Nitrate,133.2,15.0,88.2,33.4,83.8,7.5,11.8
Wheat,Goa,June,Ammonium Sulphate (AS),21.5,79.6,42.3,36.9,94.5,7.6,10.2
Wheat,Jharkhand,June,Water Soluble NPK (13:40:13),46.4,37.4,26.1,12.5,50.0,5.7,29.2
Wheat,Goa,February,Farmyard Manure (FYM),10.2,87.2,39.7,29.7,80.5,8.0,45.7
Wheat,Gujarat,July,Farmyard Manure (FYM),80.5,26.6,94.2,40.9,39.9,6.4,21.6
Wheat,Andhra Pradesh,November,Sulphate of Potash (SOP),106.8,59.9,10.5,17.2,38.7,8.1,25.4
Wheat,Assam,April,Boron (Boric Acid/Borax),30.7,86.7,62.7,19.5,25.1,6.8,36.6
Wheat,Haryana,December,Urea,87.7,13.5,66.8,40.8,53.5,8.2,28.7
Wheat,Arunachal Pradesh,March,Compost,109.7,79.5,61.5,10.8,53.4,5.2,44.8
Wheat,Bihar,October,NPK 15:15:15,103.8,54.7,115.4,16.3,89.1,6.7,24.6
Wheat,Haryana,February,Ferrous Sulphate,66.0,80.3,27.8,31.0,56.0,5.1,24.6
Wheat,Haryana,December,NPK 10:26:26,7.0,6.3,77.3,13.3,24.8,6.3,14.4
Wheat,Kerala,December,Green Manure,5.9,32.3,95.5,30.6,52.4,7.2,29.1
Wheat,Goa,December,Sulphate of Potash (SOP),64.6,44.0,24.0,26.3,57.9,7.4,46.6
Wheat,Bihar,January,Bone Meal,56.2,6.8,41.1,30.1,96.1,8.5,19.2
Wheat,Gujarat,July,Water Soluble NPK (19:19:19),43.7,91.0,98.1,11.4,57.9,8.1,44.3
Wheat,Haryana,May,Triple Super Phosphate (TSP),3.3,4.1,23.2,40.5,67.4,7.2,41.3
Wheat,Karnataka,August,Rock Phosphate,36.6,72.3,88.3,22.7,62.6,5.4,39.1
Wheat,Arunachal Pradesh,July,NPK 14:28:14,124.7,21.9,2.6,25.0,73.6,8.6,24.6
Wheat,Arunachal Pradesh,September,NPK 12:32:16,27.4,23.3,99.8,42.6,70.0,7.4,39.4
Wheat,Kerala,November,Magnesium Sulphate,59.8,21.7,113.4,28.4,71.8,5.7,8.8
Wheat,Haryana,April,NPK 19:19:19,111.3,82.3,70.5,26.3,48.7,6.5,42.6
Wheat,Goa,August,Bone Meal,89.9,45.3,57.2,19.4,93.5,4.5,42.1
Wheat,Maharashtra,December,Polymer Coated Urea,32.7,75.3,57.1,27.7,47.7,7.7,28.2
Wheat,Jharkhand,August,Zinc Fortified Urea,29.5,23.5,74.7,42.6,33.3,7.9,26.4
Wheat,Assam,April,Sulfur Coated Urea,102.6,56.7,18.8,23.5,26.4,7.0,9.3
Wheat,Karnataka,November,Magnesium Sulphate,56.8,77.7,51.2,17.6,85.7,8.0,22.3
Wheat,Bihar,September,Pyrites,5.9,25.3,107.4,37.7,37.8,6.0,23.0
Wheat,Arunachal Pradesh,April,Copper Sulphate,43.0,39.7,5.3,12.8,50.4,8.8,18.0
Wheat,Bihar,June,Boron Fortified NPK,2.6,71.9,68.8,11.8,87.9,5.2,21.5
Wheat,Himachal Pradesh,July,Sulphate of Potash (SOP),26.1,69.5,1.3,43.4,89.6,8.4,24.0
Wheat,Gujarat,January,Potash Mobilizing Biofertilizer,39.6,48.8,85.5,29.0,32.9,6.0,35.4
Wheat,Assam,February,NPK 14:28:14,77.5,67.0,99.7,28.0,97.2,4.8,40.7
Wheat,Gujarat,February,Muriate of Potash (MOP),17.1,63.9,94.0,34.2,29.7,6.3,25.2
Wheat,Assam,December,Neem-Coated Urea,94.1,49.9,23.4,30.0,81.6,8.6,45.1
Wheat,Karnataka,May,Sulphate of Potash (SOP),8.5,88.1,47.9,42.3,87.0,8.5,14.3
Wheat,Karnataka,September,NPK 16:20:0,34.5,96.4,84.9,16.1,88.2,5.4,6.9
Wheat,Kerala,June,Boron Fortified NPK,59.7,51.7,47.6,35.7,82.8,7.7,18.1
Wheat,Bihar,May,Double Super Phosphate (DSP),57.0,83.6,43.7,10.1,20.7,5.9,31.5
Wheat,Bihar,July,Zinc Oxysulphate,61.9,91.9,115.8,12.5,71.2,5.5,18.9
Wheat,Assam,January,Sulphate of Potash (SOP),34.1,40.8,110.6,25.3,79.1,7.0,29.2
Wheat,Maharashtra,May,Monoammonium Phosphate (MAP),62.3,23.2,108.4,16.7,72.1,4.7,28.0
Wheat,Arunachal Pradesh,November,Rock Phosphate,30.7,57.9,50.8,10.3,85.7,5.0,6.3
Wheat,Bihar,September,Polymer Coated Urea,23.2,52.7,106.4,44.3,21.3,8.8,34.7
Wheat,Chhattisgarh,May,Green Manure,46.4,25.5,9.6,42.8,57.9,5.1,40.9
Wheat,Madhya Pradesh,December,Zinc Sulphate,20.9,61.3,34.9,13.3,31.1,5.2,14.9
Wheat,Madhya Pradesh,December,Monoammonium Phosphate (MAP),9.5,98.2,58.9,19.9,47.3,5.0,16.0
Wheat,Himachal Pradesh,December,Dolomite,136.5,62.4,71.0,14.9,40.3,5.3,14.4
Wheat,Gujarat,March,Rock Phosphate,67.0,83.7,78.6,29.2,83.0,8.2,40.3
Wheat,Kerala,July,Molybdenum (Ammonium Molybdate),137.4,42.3,3.9,29.9,31.5,5.6,32.0
Wheat,Madhya Pradesh,May,Molybdenum (Ammonium Molybdate),113.1,84.1,28.6,12.8,85.7,7.6,29.4
Wheat,Himachal Pradesh,April,Monoammonium Phosphate (MAP),84.6,48.5,108.1,12.5,60.8,8.8,48.7
Wheat,Gujarat,November,Pyrites,44.9,67.0,56.1,29.8,35.9,4.8,45.7
Wheat,Haryana,December,Zinc EDTA,96.3,56.0,109.1,11.2,85.6,6.3,43.3
Wheat,Gujarat,April,Water Soluble NPK (13:40:13),97.8,20.7,44.2,16.8,23.5,8.2,19.1
Maize,Jharkhand,December,Polymer Coated Urea,98.9,9.0,99.7,39.3,69.7,7.0,33.2
Maize,Assam,January,NPK 19:19:19,114.7,76.4,66.4,42.3,59.0,8.7,27.2
Maize,Gujarat,April,Ammonium Sulphate (AS),32.4,56.4,68.9,31.1,53.8,8.9,32.7
Maize,Madhya Pradesh,February,Triple Super Phosphate (TSP),46.0,92.2,25.0,26.9,63.8,5.1,19.2
Maize,Jharkhand,February,Neem-Coated Urea,125.0,81.8,108.3,23.5,65.9,5.4,23.1
Maize,Himachal Pradesh,June,Boron (Boric Acid/Borax),2.0,47.6,4.9,13.9,82.7,8.0,12.0
Maize,Himachal Pradesh,May,Sulphate of Potash (SOP),136.6,56.0,103.0,44.8,71.1,8.9,15.4
Maize,Karnataka,December,Sulphate of Potash (SOP),71.0,92.0,3.1,22.6,59.7,4.7,10.5
Maize,Karnataka,May,Neem-Coated Urea,138.9,6.0,80.2,14.3,21.8,8.1,17.4
Maize,Arunachal Pradesh,July,Triple Super Phosphate (TSP),113.8,10.4,63.3,42.1,48.1,8.6,9.7
Maize,Goa,September,NPK 17:17:17,6.6,66.4,87.0,23.7,43.9,5.5,39.3
Maize,Kerala,August,Water Soluble NPK (19:19:19),115.2,18.2,26.5,26.7,48.5,7.0,35.0
Maize,Bihar,January,NPK 28:28:0,32.9,39.4,107.5,14.0,63.0,8.7,24.0
Maize,Madhya Pradesh,July,Ammonium Sulphate (AS),7.3,27.4,65.3,10.3,89.9,6.6,8.6
Maize,Bihar,December,Potash Mobilizing Biofertilizer,97.7,84.8,14.2,19.7,51.2,5.9,43.4
Maize,Goa,June,Potash Mobilizing Biofertilizer,7.8,5.5,14.5,17.2,46.0,8.8,8.9
Maize,Madhya Pradesh,February,Dolomite,11.7,37.4,97.0,37.8,72.4,5.6,14.6
Maize,Bihar,July,Zinc Sulphate,55.5,10.6,42.0,36.9,54.3,8.6,20.0
Maize,Bihar,December,Magnesium Sulphate,49.1,18.0,8.5,30.3,79.7,4.9,28.5
Maize,Andhra Pradesh,April,Anhydrous Ammonia,102.7,20.2,66.8,16.8,66.1,6.1,43.6
Maize,Himachal Pradesh,March,Sulphate of Potash (SOP),101.3,19.3,14.1,40.2,67.1,5.2,35.2
Maize,Goa,January,Sulphur-Coated Urea,130.6,57.3,0.3,38.9,81.0,6.8,13.2
Maize,Arunachal Pradesh,November,Ammonium Sulphate (AS),10.2,27.9,44.2,32.3,57.8,6.7,25.8
Maize,Himachal Pradesh,August,Vermicompost,23.0,99.1,9.9,44.1,73.5,4.7,49.4
Maize,Karnataka,October,Double Super Phosphate (DSP),78.3,66.0,106.5,25.4,62.2,5.0,28.4
Maize,Karnataka,March,NPK 15:15:15,0.4,70.2,62.0,28.1,33.3,5.5,24.9
Maize,Madhya Pradesh,February,Green Manure,72.8,6.9,116.5,19.8,26.0,7.9,8.4
Maize,Madhya Pradesh,February,Diammonium Phosphate (DAP),1.6,81.4,76.7,36.0,22.4,8.6,47.0
Maize,Assam,September,Copper Sulphate,48.3,97.6,83.4,27.4,83.6,7.5,32.8
Maize,Assam,February,Zinc EDTA,58.5,77.9,49.5,40.9,40.8,7.3,44.7
Maize,Assam,January,NPK 20:20:13,81.4,24.9,24.8,24.7,62.1,4.8,38.8
Maize,Chhattisgarh,March,Boron Fortified NPK,104.8,14.4,116.0,18.6,51.8,6.3,39.5
Maize,Maharashtra,April,NPK 10:26:26,130.3,44.7,78.7,41.4,85.4,4.5,26.9
Maize,Jharkhand,November,Water Soluble NPK (13:40:13),94.6,76.2,59.8,39.6,36.8,5.3,20.1
Maize,Jharkhand,July,NPK 28:28:0,7.0,41.2,38.4,20.0,57.0,7.8,47.1
Maize,Kerala,October,Chelated Iron,83.9,45.7,42.0,24.9,51.2,4.7,13.7
Maize,Kerala,January,Potassium Nitrate,85.5,62.3,79.9,26.6,55.5,6.3,14.0
Maize,Haryana,January,NPK 17:17:17,68.5,77.3,17.7,11.2,94.8,4.5,19.1
Maize,Andhra Pradesh,January,NPK 10:26:26,48.4,9.3,4.2,32.6,32.4,5.5,10.0
Maize,Bihar,April,Double Super Phosphate (DSP),94.5,38.0,113.7,18.4,56.9,8.7,34.0
Maize,Madhya Pradesh,October,Vermicompost,108.3,11.2,6.1,40.6,77.0,5.2,20.7
Maize,Andhra Pradesh,March,Potash Mobilizing Biofertilizer,86.4,11.8,93.1,23.7,50.3,7.6,15.1
Maize,Gujarat,September,Vermicompost,90.5,5.0,72.3,36.6,43.2,8.1,13.5
Maize,Arunachal Pradesh,September,NPK 20:20:0,21.4,26.1,16.2,26.2,87.9,8.2,12.1
Maize,Maharashtra,February,Monoammonium Phosphate (MAP),120.2,33.1,71.5,27.9,60.3,8.7,34.2
Maize,Assam,April,Zinc Oxysulphate,19.8,16.8,92.5,33.7,95.3,7.7,47.8
Maize,Chhattisgarh,May,Vesicular Arbuscular Mycorrhiza (VAM),93.8,92.6,67.7,28.0,48.2,6.5,43.8
Maize,Goa,January,NPK 15:15:15,80.9,68.6,37.3,32.4,78.4,5.4,48.8
Maize,Chhattisgarh,June,Phosphobacteria,16.2,59.0,36.4,19.9,97.6,7.2,35.2
Maize,Maharashtra,July,Dolomite,36.7,89.8,18.1,34.5,69.3,7.2,7.6
Maize,Madhya Pradesh,November,Zinc Sulphate,95.2,18.1,18.8,29.1,23.2,6.5,47.5
Maize,Haryana,November,Water Soluble NPK (13:40:13),104.9,65.1,0.3,25.5,81.3,6.3,30.3
Maize,Himachal Pradesh,January,Muriate of Potash (MOP),76.6,36.9,58.3,19.8,88.2,4.6,40.5
Maize,Haryana,June,NPK 16:20:0,9.7,68.7,43.9,30.9,66.5,6.6,11.3
Maize,Bihar,August,Manganese Sulphate,134.6,15.7,65.4,30.8,20.2,5.6,32.9
Maize,Karnataka,November,Rhizobium Biofertilizer,130.6,73.5,73.3,31.0,71.0,6.4,21.7
Maize,Goa,January,Copper Sulphate,129.8,14.2,73.5,15.2,52.0,6.9,11.5
Maize,Karnataka,April,Copper Sulphate,3.1,70.5,118.7,43.7,23.5,8.8,15.0
Maize,Kerala,November,Double Super Phosphate (DSP),98.1,42.3,110.5,24.1,89.2,7.1,34.0
Maize,Assam,May,Anhydrous Ammonia,34.9,22.2,65.0,12.1,47.4,8.0,43.0
Maize,Chhattisgarh,May,Water Soluble NPK (19:19:19),36.2,49.8,26.6,11.4,40.1,8.3,16.2
Maize,Arunachal Pradesh,November,Rock Phosphate,79.1,16.8,115.9,41.1,75.6,5.2,10.4
